 trial position no.            7
 
 
 
 
 
 
 
 
 
 
 
 
   0.111415E+15  -0.449877E+14   0.334579E+14   0.270215E+14   0.621181E+14  -0.623446E+14
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.118263E+15  -0.459011E+14   0.330479E+14   0.243073E+14   0.620059E+14  -0.778798E+14
  -0.459011E+14   0.985293E+14   0.116347E+14   0.323496E+13  -0.230557E+14  -0.145499E+13
   0.330479E+14   0.116347E+14   0.883344E+14   0.385697E+13   0.831494E+13   0.365285E+13
   0.243073E+14   0.323495E+13   0.385697E+13   0.920783E+14   0.207782E+14  -0.450914E+14
   0.620059E+14  -0.230557E+14   0.831494E+13   0.207782E+14   0.123399E+15  -0.738037E+14
  -0.778798E+14  -0.145499E+13   0.365285E+13  -0.450914E+14  -0.738037E+14   0.283575E+15
 trial position no.           13
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.124758E+15  -0.464054E+14   0.324547E+14   0.230344E+14   0.630157E+14  -0.929235E+14
  -0.464054E+14   0.908556E+14   0.107316E+14   0.216057E+13  -0.245525E+14   0.299119E+13
   0.324547E+14   0.107316E+14   0.806333E+14   0.466142E+13   0.887633E+13   0.123936E+13
   0.230344E+14   0.216057E+13   0.466143E+13   0.886319E+14   0.102771E+14  -0.502951E+14
   0.630157E+14  -0.245525E+14   0.887633E+13   0.102771E+14   0.119984E+15  -0.853439E+14
  -0.929235E+14   0.299119E+13   0.123936E+13  -0.502951E+14  -0.853439E+14   0.328235E+15
 trial position no.           14
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.131085E+15  -0.469226E+14   0.319552E+14   0.211247E+14   0.631759E+14  -0.105801E+15
  -0.469226E+14   0.850898E+14   0.992407E+13   0.241827E+13  -0.246209E+14   0.572077E+13
   0.319552E+14   0.992408E+13   0.747895E+14   0.438883E+13   0.845083E+13   0.202804E+12
   0.211247E+14   0.241827E+13   0.438883E+13   0.888592E+14   0.267098E+13  -0.555364E+14
   0.631759E+14  -0.246209E+14   0.845083E+13   0.267098E+13   0.119433E+15  -0.959915E+14
  -0.105801E+15   0.572076E+13   0.202801E+12  -0.555364E+14  -0.959915E+14   0.374072E+15
 trial position no.           15
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.136213E+15  -0.513664E+14   0.339784E+14   0.172772E+14   0.609848E+14  -0.118823E+15
  -0.513664E+14   0.951124E+14   0.109063E+14   0.392584E+13  -0.263859E+14   0.713235E+13
   0.339784E+14   0.109063E+14   0.826855E+14   0.429214E+13   0.790279E+13   0.942046E+12
   0.172772E+14   0.392585E+13   0.429214E+13   0.915290E+14  -0.402777E+13  -0.533189E+14
   0.609848E+14  -0.263859E+14   0.790280E+13  -0.402777E+13   0.119466E+15  -0.994067E+14
  -0.118823E+15   0.713235E+13   0.942044E+12  -0.533189E+14  -0.994067E+14   0.450705E+15
 trial position no.           16
 
 
 
 
 
 
 
 
 
 
 
 
